source_id,name,repo_url,homepage_url,source_categories,source_url,phase1_priority
antgroup,oh-my-claudecode,https://github.com/Yeachan-Heo/oh-my-claudecode,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,oh-my-codex,https://github.com/Yeachan-Heo/oh-my-codex,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,oh-my-openagent,https://github.com/code-yeongyu/oh-my-openagent,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,ollama,https://github.com/ollama/ollama,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,one-api,https://github.com/songquanpeng/one-api,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,onnxruntime,https://github.com/microsoft/onnxruntime,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,open-webui,https://github.com/open-webui/open-webui,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,openclaude,https://github.com/Gitlawb/openclaude,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,openclaw,https://github.com/openclaw/openclaw,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,opencode,https://github.com/anomalyco/opencode,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,opencompass,https://github.com/open-compass/opencompass,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,openfang,https://github.com/RightNow-AI/openfang,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,openvino,https://github.com/openvinotoolkit/openvino,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,opik,https://github.com/comet-ml/opik,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,owl,https://github.com/camel-ai/owl,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,page-agent,https://github.com/alibaba/page-agent,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,paimon,https://github.com/apache/paimon,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,paperclip,https://github.com/paperclipai/paperclip,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,parameter-golf,https://github.com/openai/parameter-golf,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,phoenix,https://github.com/Arize-ai/phoenix,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,pi,https://github.com/earendil-works/pi,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,pipecat,https://github.com/pipecat-ai/pipecat,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,pr-agent,https://github.com/The-PR-Agent/pr-agent,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,pytorch,https://github.com/pytorch/pytorch,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,qwen-code,https://github.com/QwenLM/qwen-code,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,ragflow,https://github.com/infiniflow/ragflow,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,ramalama,https://github.com/containers/ramalama,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,ray,https://github.com/ray-project/ray,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,rtk,https://github.com/rtk-ai/rtk,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,scira,https://github.com/zaidmukaddam/scira,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,searxng,https://github.com/searxng/searxng,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,seekdb,https://github.com/oceanbase/seekdb,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,server,https://github.com/triton-inference-server/server,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,siyuan,https://github.com/siyuan-note/siyuan,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,skills,https://github.com/anthropics/skills,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,spark,https://github.com/apache/spark,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,spring-ai,https://github.com/spring-projects/spring-ai,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,streamlit,https://github.com/streamlit/streamlit,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,supabase,https://github.com/supabase/supabase,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,superpowers,https://github.com/obra/superpowers,,,https://github.com/antgroup/agentic-ai-landscape,4
